"","diversity","animals"
"1","3.2554756786559","Cat (N=960)"
"2","4.75342417553332","Cat (N=960)"
"3","4.46860746489061","Cat (N=960)"
"4","3.57853949908786","Cat (N=960)"
"5","4.53683631168083","Cat (N=960)"
"6","3.4627529146419","Cat (N=960)"
"7","3.34459500268657","Cat (N=960)"
"8","4.34021180791676","Cat (N=960)"
"9","4.7135222621131","Cat (N=960)"
"10","4.31774196327158","Cat (N=960)"
"11","2.68289797440134","Cat (N=960)"
"12","4.19913288444338","Cat (N=960)"
"13","4.51319236822615","Cat (N=960)"
"14","4.18693683709552","Cat (N=960)"
"15","4.86646320167908","Cat (N=960)"
"16","3.99822045828836","Cat (N=960)"
"17","2.62121014846259","Cat (N=960)"
"18","3.82765249979516","Cat (N=960)"
"19","3.18032845602086","Cat (N=960)"
"20","4.33569117691371","Cat (N=960)"
"21","4.21425097392643","Cat (N=960)"
"22","3.37661704023945","Cat (N=960)"
"23","3.28255524373579","Cat (N=960)"
"24","3.51029003863724","Cat (N=960)"
"25","4.370468693795","Cat (N=960)"
"26","4.68873941355762","Cat (N=960)"
"27","4.45063149041498","Cat (N=960)"
"28","4.24915451879292","Cat (N=960)"
"29","4.98158573734727","Cat (N=960)"
"30","4.2774332134152","Cat (N=960)"
"31","4.57742070662533","Cat (N=960)"
"32","4.54953803380272","Cat (N=960)"
"33","3.71558658456968","Cat (N=960)"
"34","4.09903449444802","Cat (N=960)"
"35","4.02274257831095","Cat (N=960)"
"36","4.49894586352548","Cat (N=960)"
"37","3.92036540294791","Cat (N=960)"
"38","3.88414645737094","Cat (N=960)"
"39","3.77965762691567","Cat (N=960)"
"40","2.36557196326756","Cat (N=960)"
"41","4.15881564198735","Cat (N=960)"
"42","3.95538320569199","Cat (N=960)"
"43","4.61678291406833","Cat (N=960)"
"44","2.81021914809392","Cat (N=960)"
"45","3.34081468005417","Cat (N=960)"
"46","3.43541084050225","Cat (N=960)"
"47","3.05057514967768","Cat (N=960)"
"48","2.58204218736262","Cat (N=960)"
"49","3.61629349987797","Cat (N=960)"
